pen down
(7,595)
(7,595)
(7,595)
(7,595)
(7,595)
(7,595)
(3,591)
(2,590)
(2,587)
(2,585)
(2,582)
(2,579)
(3,572)
(6,565)
(9,561)
(18,548)
(22,543)
(26,538)
(34,530)
(45,522)
(54,514)
(66,507)
(72,504)
(86,498)
(97,492)
(103,490)
(115,484)
(128,478)
(140,472)
(153,466)
(158,462)
(171,454)
(182,447)
(190,442)
(202,434)
(218,425)
(234,416)
(242,411)
(271,398)
(282,393)
(303,383)
(325,373)
(335,368)
(357,358)
(378,348)
(397,338)
(406,332)
(425,321)
(442,309)
(451,302)
(469,289)
(486,274)
(506,257)
(518,249)
(536,234)
(555,218)
(574,205)
(590,192)
(599,186)
(623,170)
(630,166)
(646,156)
(654,151)
(669,142)
(682,134)
(694,124)
(699,120)
(710,112)
(721,105)
(731,98)
(735,94)
(742,88)
(750,81)
(756,75)
(761,70)
(763,69)
(766,65)
(770,60)
(772,58)
(776,54)
(779,51)
(781,49)
(782,48)
(782,46)
(783,44)
(784,41)
(785,38)
(786,34)
(786,30)
(787,26)
(787,24)
(788,22)
(789,18)
(790,16)
(790,14)
(791,12)
(792,10)
(793,9)
(794,7)
(796,5)
(799,3)
(802,1)
(804,0)
(808,-2)
(812,-2)
(817,-4)
(819,-5)
(824,-6)
(827,-7)
(832,-10)
(835,-10)
(845,-14)
(852,-18)
(861,-22)
pen down
(681,25)
(681,25)
(681,25)
(681,25)
(681,25)
(681,25)
(681,25)
(675,20)
(673,19)
(668,17)
(662,15)
(653,13)
(642,12)
(614,9)
(615,14)
(622,15)
(627,17)
(632,18)
(638,19)
(639,20)
(639,20)
(639,20)
pen down
(711,22)
(711,22)
(711,22)
(711,22)
(711,22)
(711,22)
(711,22)
(710,18)
(710,13)
(709,7)
(709,5)
(708,0)
(708,-4)
(708,-7)
(707,-8)
(707,-10)
(707,-11)
(707,-11)
(707,-12)
(707,-12)
(707,-13)
(707,-13)
(707,-14)
(707,-15)
(707,-15)
(707,-16)
(707,-16)
(707,-16)
(707,-17)
(707,-17)
(707,-17)
pen down
(354,128)
(354,128)
(354,128)
(354,128)
(354,128)
(355,122)
(355,108)
(355,88)
(354,79)
(354,61)
(353,44)
(353,28)
(353,12)
(353,4)
(354,-8)
(356,-20)
(359,-32)
(362,-38)
(366,-48)
(370,-60)
(370,-65)
pen down
(486,118)
(486,118)
(486,118)
(483,111)
(479,101)
(470,75)
(467,62)
(462,32)
(458,-12)
(459,-60)
(460,-82)
pen down
(521,106)
(521,106)
(521,106)
(521,106)
(521,106)
(521,106)
(505,77)
(498,62)
(487,29)
(486,12)
(486,-36)
(490,-64)
(498,-114)
(499,-141)
pen down
(543,94)
(543,94)
(543,94)
(543,94)
(543,94)
(541,89)
(539,83)
(538,74)
(537,70)
(534,60)
(531,51)
(527,40)
(524,31)
(522,25)
(517,9)
(515,4)
(510,-4)
